LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
-0.029410,-0.070708,-0.024213,0.328059,-0.299488,-0.001838,-0.029282,-0.049403,0.034498,0.438591,-0.432081,-0.006801,0.022271,-0.028786,-0.048775,0.030044,1.061075,1.001174,0.194636,-1.394748,-0.058363,-0.149731,0.058843,-1.441427,-0.919166,0.721594,1.086598,-0.059022,0.141534,1
-0.029393,-0.070708,-0.024213,0.328050,-0.299492,-0.001846,-0.029291,-0.049403,0.034457,0.438591,-0.432085,-0.006793,0.022257,-0.028786,-0.048775,0.030020,1.061075,1.001150,0.194588,-1.394772,-0.058375,-0.149719,0.058843,-1.441451,-0.919166,0.721582,1.086610,-0.058998,0.141522,1
-0.029401,-0.070717,-0.024213,0.328025,-0.299497,-0.001853,-0.029282,-0.049394,0.034484,0.438608,-0.432085,-0.006793,0.022257,-0.028779,-0.048780,0.030020,1.061075,1.001162,0.194600,-1.394736,-0.058363,-0.149743,0.058819,-1.441439,-0.919190,0.721534,1.086586,-0.059046,0.141522,1
-0.029410,-0.070708,-0.024213,0.328033,-0.299492,-0.001846,-0.029273,-0.049394,0.034484,0.438608,-0.432081,-0.006815,0.022271,-0.028786,-0.048775,0.030032,1.061075,1.001162,0.194600,-1.394772,-0.058363,-0.149743,0.058819,-1.441451,-0.919190,0.721498,1.086598,-0.059010,0.141522,1
-0.029410,-0.070725,-0.024226,0.328016,-0.299484,-0.001831,-0.029282,-0.049403,0.034498,0.438608,-0.432073,-0.006801,0.022244,-0.028763,-0.048789,0.030020,1.061075,1.001162,0.194600,-1.394748,-0.058363,-0.149731,0.058831,-1.441439,-0.919190,0.721510,1.086610,-0.059022,0.141522,1
-0.029410,-0.070708,-0.024213,0.328008,-0.299505,-0.001839,-0.029282,-0.049403,0.034471,0.438591,-0.432085,-0.006793,0.022271,-0.028763,-0.048789,0.030032,1.061075,1.001138,0.194600,-1.394760,-0.058375,-0.149731,0.058819,-1.441451,-0.919214,0.721474,1.086598,-0.059010,0.141534,1
-0.029418,-0.070717,-0.024226,0.328008,-0.299488,-0.001838,-0.029299,-0.049394,0.034484,0.438591,-0.432089,-0.006801,0.022271,-0.028756,-0.048775,0.030032,1.061075,1.001150,0.194576,-1.394784,-0.058363,-0.149731,0.058807,-1.441463,-0.919190,0.721438,1.086610,-0.059022,0.141534,1
-0.029401,-0.070717,-0.024213,0.328008,-0.299480,-0.001824,-0.029282,-0.049394,0.034471,0.438591,-0.432073,-0.006801,0.022257,-0.028771,-0.048785,0.030032,1.061075,1.001150,0.194600,-1.394760,-0.058363,-0.149731,0.058807,-1.441463,-0.919190,0.721438,1.086598,-0.059034,0.141534,1
-0.029410,-0.070725,-0.024213,0.327982,-0.299488,-0.001838,-0.029282,-0.049394,0.034484,0.438608,-0.432089,-0.006801,0.022244,-0.028748,-0.048779,0.029997,1.061075,1.001150,0.194624,-1.394760,-0.058363,-0.149731,0.058783,-1.441463,-0.919190,0.721390,1.086586,-0.059022,0.141510,1
-0.029418,-0.070725,-0.024199,0.327991,-0.299480,-0.001853,-0.029282,-0.049403,0.034484,0.438591,-0.432073,-0.006801,0.022257,-0.028748,-0.048779,0.030020,1.061087,1.001162,0.194612,-1.394772,-0.058375,-0.149731,0.058783,-1.441427,-0.919202,0.721378,1.086610,-0.059034,0.141510,1
