LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
-0.011582,-0.070452,0.003187,0.258987,-0.292466,0.054432,-0.046701,0.036995,0.010218,0.313801,-0.322840,-0.034799,-0.396052,0.037083,-0.061085,-0.182244,1.218835,1.049135,-0.280671,-0.470573,-0.145716,0.053965,-0.498028,-1.239361,-0.910969,-0.220186,0.147274,0.035437,0.107103,3
-0.011590,-0.070461,0.003187,0.258979,-0.292466,0.054432,-0.046701,0.036995,0.010231,0.313852,-0.322894,-0.034864,-0.396079,0.037128,-0.061096,-0.182652,1.221448,1.048152,-0.279568,-0.470585,-0.145824,0.053953,-0.497981,-1.240751,-0.911101,-0.219551,0.147322,0.036096,0.107127,3
-0.011573,-0.070444,0.003214,0.258970,-0.292458,0.054417,-0.046761,0.037012,0.010245,0.313938,-0.322935,-0.034936,-0.396454,0.037189,-0.061117,-0.183179,1.223209,1.047565,-0.278322,-0.470573,-0.145896,0.053965,-0.497909,-1.241901,-0.911328,-0.218952,0.147358,0.036648,0.107139,3
-0.011530,-0.070435,0.003294,0.258970,-0.292445,0.054396,-0.046795,0.037003,0.010272,0.314023,-0.322972,-0.035001,-0.397204,0.037273,-0.061183,-0.183826,1.224983,1.047242,-0.276284,-0.470561,-0.145920,0.053965,-0.497765,-1.243232,-0.911856,-0.218424,0.147442,0.037175,0.107163,3
-0.011445,-0.070427,0.003402,0.258859,-0.292411,0.054352,-0.046889,0.037020,0.010406,0.314296,-0.323013,-0.035102,-0.399078,0.037417,-0.061300,-0.185252,1.227392,1.047325,-0.274391,-0.470585,-0.145980,0.053953,-0.497513,-1.245485,-0.912443,-0.216938,0.147538,0.038026,0.107271,3
-0.011428,-0.070427,0.003428,0.258800,-0.292395,0.054367,-0.046906,0.037020,0.010432,0.314372,-0.323025,-0.035124,-0.399802,0.037448,-0.061331,-0.185791,1.228207,1.047421,-0.273840,-0.470585,-0.145992,0.053977,-0.497405,-1.246144,-0.912635,-0.216519,0.147598,0.038326,0.107319,3
-0.011360,-0.070435,0.003495,0.258731,-0.292374,0.054345,-0.046965,0.037037,0.010486,0.314517,-0.323058,-0.035182,-0.401181,0.037539,-0.061383,-0.187002,1.229681,1.047661,-0.272869,-0.470573,-0.145956,0.053989,-0.497261,-1.247402,-0.912898,-0.215812,0.147670,0.039081,0.107415,3
-0.011266,-0.070427,0.003576,0.258714,-0.292382,0.054345,-0.047034,0.037029,0.010526,0.314636,-0.323083,-0.035225,-0.403672,0.037653,-0.061459,-0.188608,1.231946,1.048080,-0.271071,-0.470585,-0.145836,0.053989,-0.497154,-1.249152,-0.913342,-0.214805,0.147813,0.039812,0.107690,3
-0.011258,-0.070401,0.003562,0.258740,-0.292382,0.054330,-0.047042,0.037046,0.010539,0.314662,-0.323087,-0.035232,-0.404703,0.037767,-0.061516,-0.189986,1.233504,1.047997,-0.269897,-0.470585,-0.145656,0.053953,-0.497178,-1.250374,-0.913557,-0.214002,0.147921,0.040255,0.107846,3
-0.011275,-0.070367,0.003549,0.258800,-0.292395,0.054338,-0.047034,0.037063,0.010539,0.314611,-0.323095,-0.035218,-0.405707,0.037805,-0.061552,-0.190813,1.235769,1.047493,-0.268674,-0.470573,-0.145393,0.053905,-0.497285,-1.252232,-0.913761,-0.213187,0.148017,0.040722,0.108002,3
-0.011309,-0.070307,0.003522,0.258885,-0.292382,0.054330,-0.047017,0.037054,0.010539,0.314577,-0.323095,-0.035218,-0.406632,0.037866,-0.061593,-0.191568,1.237291,1.046307,-0.267416,-0.470585,-0.145177,0.053845,-0.497513,-1.253394,-0.913893,-0.212289,0.148149,0.041238,0.108182,3
-0.011326,-0.070273,0.003495,0.258987,-0.292399,0.054345,-0.046991,0.037063,0.010553,0.314517,-0.323091,-0.035225,-0.407703,0.037919,-0.061619,-0.192287,1.239088,1.045600,-0.266122,-0.470573,-0.144997,0.053797,-0.497849,-1.254593,-0.913857,-0.211450,0.148281,0.041873,0.108313,3
-0.011369,-0.070248,0.003482,0.259132,-0.292403,0.054352,-0.046974,0.037080,0.010539,0.314440,-0.323087,-0.035232,-0.408801,0.037965,-0.061650,-0.192850,1.240802,1.045036,-0.264372,-0.470561,-0.144985,0.053737,-0.498076,-1.255647,-0.913749,-0.210203,0.148425,0.042496,0.108445,3
-0.011394,-0.070239,0.003455,0.259226,-0.292395,0.054338,-0.046931,0.037088,0.010539,0.314398,-0.323091,-0.035225,-0.409966,0.037996,-0.061660,-0.193234,1.242396,1.044641,-0.263198,-0.470573,-0.144997,0.053737,-0.498172,-1.256762,-0.913581,-0.209257,0.148628,0.043167,0.108565,3
-0.011428,-0.070239,0.003402,0.259277,-0.292395,0.054352,-0.046897,0.037097,0.010539,0.314364,-0.323087,-0.035232,-0.411305,0.038026,-0.061681,-0.193521,1.243954,1.044365,-0.261855,-0.470573,-0.145009,0.053737,-0.498184,-1.257864,-0.913486,-0.208346,0.148808,0.043910,0.108721,3
-0.011488,-0.070231,0.003415,0.259294,-0.292399,0.054345,-0.046821,0.037114,0.010513,0.314321,-0.323087,-0.035232,-0.414626,0.038064,-0.061707,-0.193809,1.246423,1.043982,-0.259518,-0.470585,-0.144997,0.053761,-0.498244,-1.259578,-0.913522,-0.207135,0.149060,0.045828,0.108997,3
-0.011505,-0.070239,0.003415,0.259285,-0.292395,0.054352,-0.046778,0.037114,0.010499,0.314296,-0.323091,-0.035225,-0.416555,0.038079,-0.061717,-0.194132,1.247957,1.043694,-0.257960,-0.470573,-0.144997,0.053761,-0.498412,-1.260824,-0.913581,-0.206284,0.149204,0.046978,0.109092,3
-0.011496,-0.070256,0.003415,0.259277,-0.292383,0.054359,-0.046718,0.037131,0.010486,0.314287,-0.323091,-0.035225,-0.418711,0.038102,-0.061712,-0.194840,1.249503,1.043383,-0.256414,-0.470621,-0.145021,0.053797,-0.498676,-1.262119,-0.913605,-0.205362,0.149359,0.048201,0.109140,3
-0.011496,-0.070256,0.003415,0.259243,-0.292378,0.054352,-0.046693,0.037122,0.010446,0.314338,-0.323091,-0.035225,-0.420693,0.038132,-0.061693,-0.195367,1.252019,1.043095,-0.255036,-0.470621,-0.145081,0.053797,-0.498819,-1.264228,-0.913581,-0.204619,0.149515,0.049399,0.109140,3
-0.011522,-0.070256,0.003402,0.259200,-0.292378,0.054352,-0.046701,0.037114,0.010392,0.314398,-0.323087,-0.035232,-0.422380,0.038132,-0.061703,-0.195774,1.253877,1.042723,-0.253862,-0.470621,-0.145117,0.053797,-0.498855,-1.265558,-0.913426,-0.203984,0.149695,0.050370,0.109116,3
-0.011539,-0.070256,0.003402,0.259175,-0.292366,0.054330,-0.046701,0.037122,0.010379,0.314466,-0.323096,-0.035247,-0.423920,0.038140,-0.061708,-0.196086,1.255627,1.042496,-0.252400,-0.470621,-0.145129,0.053785,-0.498795,-1.266780,-0.913306,-0.203097,0.149839,0.051089,0.109116,3
