LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
0.022550,-0.090002,-0.024601,0.432847,-0.452655,0.014472,-0.013465,-0.068245,0.060933,0.576811,-0.623910,-0.000168,-0.226122,-0.049454,-0.046983,-0.148041,0.181217,-0.166041,0.198758,1.077394,-0.517419,-0.073523,-1.150809,-1.234124,-0.428448,0.419124,0.309193,0.009923,0.197620,1
0.022567,-0.090019,-0.024588,0.432830,-0.452655,0.014486,-0.013465,-0.068245,0.060947,0.576802,-0.623913,-0.000161,-0.226149,-0.049447,-0.046978,-0.148053,0.181073,-0.166041,0.198758,1.077394,-0.517443,-0.073535,-1.150594,-1.234100,-0.428436,0.419160,0.309181,0.009923,0.197596,1
0.022558,-0.090002,-0.024574,0.432821,-0.452647,0.014486,-0.013465,-0.068245,0.060960,0.576802,-0.623913,-0.000175,-0.226149,-0.049439,-0.046973,-0.148017,0.180893,-0.166017,0.198770,1.077382,-0.517443,-0.073523,-1.150354,-1.234076,-0.428424,0.419172,0.309193,0.009923,0.197536,1
0.022558,-0.089994,-0.024641,0.432813,-0.452655,0.014472,-0.013465,-0.068245,0.060947,0.576785,-0.623913,-0.000161,-0.226122,-0.049462,-0.046979,-0.148029,0.180750,-0.166017,0.198782,1.077394,-0.517455,-0.073535,-1.149886,-1.234100,-0.428412,0.419160,0.309193,0.009947,0.197488,1
0.022550,-0.090002,-0.024601,0.432813,-0.452655,0.014486,-0.013465,-0.068245,0.060933,0.576785,-0.623913,-0.000161,-0.226136,-0.049454,-0.046983,-0.148017,0.180582,-0.166017,0.198770,1.077406,-0.517455,-0.073535,-1.149551,-1.234064,-0.428436,0.419160,0.309217,0.009959,0.197416,1
0.022558,-0.090002,-0.024588,0.432779,-0.452651,0.014465,-0.013473,-0.068237,0.060947,0.576760,-0.623906,-0.000175,-0.226109,-0.049470,-0.046974,-0.148065,0.180222,-0.166017,0.198782,1.077382,-0.517443,-0.073535,-1.149024,-1.234100,-0.428436,0.419184,0.309229,0.009959,0.197272,1
0.022550,-0.089994,-0.024601,0.432813,-0.452651,0.014494,-0.013482,-0.068245,0.060947,0.576743,-0.623920,-0.000175,-0.226122,-0.049470,-0.046974,-0.148041,0.180102,-0.165993,0.198794,1.077382,-0.517443,-0.073547,-1.148832,-1.234076,-0.428436,0.419172,0.309217,0.009959,0.197212,1
0.022550,-0.090002,-0.024588,0.432779,-0.452647,0.014472,-0.013482,-0.068245,0.060947,0.576734,-0.623917,-0.000168,-0.226122,-0.049477,-0.046969,-0.148053,0.179887,-0.166005,0.198782,1.077406,-0.517443,-0.073535,-1.148496,-1.234088,-0.428400,0.419184,0.309253,0.009959,0.197081,1
0.022558,-0.089994,-0.024574,0.432787,-0.452655,0.014472,-0.013473,-0.068245,0.060947,0.576726,-0.623913,-0.000175,-0.226136,-0.049477,-0.046969,-0.148029,0.179551,-0.165982,0.198794,1.077394,-0.517443,-0.073547,-1.147945,-1.234124,-0.428400,0.419160,0.309229,0.009959,0.196865,1
0.022550,-0.090019,-0.024614,0.432762,-0.452647,0.014501,-0.013482,-0.068237,0.060960,0.576717,-0.623913,-0.000175,-0.226136,-0.049515,-0.046965,-0.148005,0.179311,-0.165993,0.198782,1.077406,-0.517443,-0.073535,-1.147585,-1.234112,-0.428364,0.419160,0.309229,0.009971,0.196697,1
